PDBsource,Smiles,rmvDumSmiles,ECscore,posResidues,negResidues
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c([28*])c([H])c(C([25*])(F)F)c1[H])C([H])([H])[H],[H]c1c([H])c(C([H])(F)F)c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c1[H],1.0612756876534657,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c([28*])c([H])c(C([26*])(F)F)c1[H])C([H])([H])[H],[H]c1c([H])c(C([H])(F)F)c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c1[H],1.0825970731453223,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([24*])([25*])F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c([H])c1C([H])([H])F,0.2961969140520616,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([24*])([26*])F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c([H])c1C([H])([H])F,0.3175182995439182,TRP35,TRP35
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([25*])([26*])F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c([H])c1C([H])([H])F,0.27829737807344734,TRP35,TRP35
6SCM_L7H_A,[5*]c1nc(N([9*])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c(O[6*])c([H])c2n1,[H]Oc1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])[H])nc([H])nc2c1[H],-2.8489054775302765,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[5*]c1nc(N([9*])[H])c2c([H])c(O[15*])c(OC([H])([H])[H])c([H])c2n1,[H]Oc1c(OC([H])([H])[H])c([H])c2nc([H])nc(N([H])[H])c2c1[H],-1.4648405653319911,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[5*]c1nc(N([9*])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([31*])c([H])c2n1,[H]c1nc(N([H])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c([H])c2n1,-2.4299885931375855,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[5*]c1nc(N([9*])[H])c2c([H])c([30*])c(OC([H])([H])[H])c([H])c2n1,[H]c1nc(N([H])[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2n1,-1.1247252261524663,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[6*]Oc1c(O[15*])c([H])c2c(N([9*])[H])nc(C([H])([H])[H])nc2c1[H],[H]Oc1c(O[H])c([H])c2c(N([H])[H])nc(C([H])([H])[H])nc2c1[H],-2.5368055106517042,TYR36,"TRP35,TYR36"
